 ##################################################################################
 # [fnlo-tk-cppread] Evaluating table: ./2jet.NNLO.fnl5662j_mjja_chi_norm_v25.tab.gz
 # [fnlo-tk-cppread] Using PDF set   : NNPDF31_nnlo_as_0118
 # [fnlo-tk-cppread] If possible, will try to do all PDF members.
 # [fnlo-tk-cppread] Using alpha_s evolution code: LHAPDF
 # [fnlo-tk-cppread] Preparing unnormalized cross sections,
 # [fnlo-tk-cppread] Using scale definition kScale1
 # [fnlo-tk-cppread] No request for central scale factor, using default of unity.
 # [fnlo-tk-cppread] No request for no. of flavours, using default of LHAPDF or Nf = 5.
 # [fnlo-tk-cppread] No request for no. of loops, using default of LHAPDF or NLoop = 2.
 # [fnlo-tk-cppread] No request for value of alpha_s(M_Z), using default of LHAPDF or asMz = 0.118.
 # [fnlo-tk-cppread] No request for value of M_Z, using default of LHAPDF or Mz = 91.1876.
 # [fnlo-tk-cppread] No request for Ecms, using default as defined in grid.
 # [fnlo-tk-cppread] Using verbosity level: WARNING
 ##################################################################################

LHAPDF 6.5.4 loading /home/rabbertz/local/share/LHAPDF/NNPDF31_nnlo_as_0118/NNPDF31_nnlo_as_0118_0000.dat
NNPDF31_nnlo_as_0118 PDF set, member #0, version 1; LHAPDF ID = 303600
LHAPDF 6.5.4 loading /home/rabbertz/local/share/LHAPDF/NNPDF31_nnlo_as_0118/NNPDF31_nnlo_as_0118_0000.dat
NNPDF31_nnlo_as_0118 PDF set, member #0, version 1; LHAPDF ID = 303600

 ##################################################################################################################################################################
 # [fnlo-tk-cppread] Calculate my cross sections
 ##################################################################################################################################################################
 #=================================================================================================================================================================
 # My Cross Sections
 # The PDF member chosen here is: 0
 #-----------------------------------------------------------------------------------------------------------------------------------------------------------------
 #IObs  BinSize  IODimO  [ Chi               ]  < ptavg_j12_ >  LO_cross_section   NLO_cross_section  NNLO_cross_section   KNLO      KNNLO
 #-----------------------------------------------------------------------------------------------------------------------------------------------------------------
     1  6000.         1   1.000       2.000      3622.          4.05006279910E-09  4.99299905712E-09  4.83750585493E-09    1.23282   0.96886
     2  6000.         2   2.000       3.000      3346.          3.88680694872E-09  4.39860259547E-09  4.13462528159E-09    1.13168   0.93999
     3  6000.         3   3.000       4.000      3079.          4.20021408894E-09  4.45814486302E-09  4.05796142676E-09    1.06141   0.91024
     4  6000.         4   4.000       5.000      2858.          4.52364103016E-09  4.49962358875E-09  4.06013719119E-09    0.99469   0.90233
     5  6000.         5   5.000       6.000      2673.          4.82447514522E-09  4.58661394853E-09  4.13631898177E-09    0.95070   0.90182
     6  6000.         6   6.000       7.000      2518.          5.07799490761E-09  4.64061702364E-09  4.02328141776E-09    0.91387   0.86697
     7  6000.         7   7.000       8.000      2386.          5.30541966806E-09  4.76579020655E-09  4.20074487604E-09    0.89829   0.88144
     8  6000.         8   8.000       9.000      2274.          5.50973008594E-09  4.71711679852E-09  4.00994551143E-09    0.85614   0.85008
     9  6000.         9   9.000       10.00      2177.          5.71413580147E-09  4.67140004000E-09  4.01365237386E-09    0.81752   0.85920
    10  1.200e+04    10   10.00       12.00      2047.          5.96205774280E-09  4.83766652121E-09  4.10399023498E-09    0.81141   0.84834
    11  1.200e+04    11   12.00       14.00      1906.          6.28217409240E-09  4.89495895572E-09  4.04992429565E-09    0.77918   0.82737
    12  1.200e+04    12   14.00       16.00      1793.          6.53692095823E-09  4.81004525849E-09  3.69628197960E-09    0.73583   0.76845
 #=================================================================================================================================================================
 # My Cross Sections
 # The PDF member chosen here is: 1
 #-----------------------------------------------------------------------------------------------------------------------------------------------------------------
 #IObs  BinSize  IODimO  [ Chi               ]  < ptavg_j12_ >  LO_cross_section   NLO_cross_section  NNLO_cross_section   KNLO      KNNLO
 #-----------------------------------------------------------------------------------------------------------------------------------------------------------------
     1  6000.         1   1.000       2.000      3594.          2.90562796866E-09  4.06296064861E-09  4.01564144867E-09    1.39831   0.98835
     2  6000.         2   2.000       3.000      3327.          3.11578528649E-09  3.79023411367E-09  3.60680350664E-09    1.21646   0.95160
     3  6000.         3   3.000       4.000      3067.          3.57494974190E-09  3.96700338938E-09  3.61077996322E-09    1.10967   0.91020
     4  6000.         4   4.000       5.000      2847.          3.98155464920E-09  4.09074697055E-09  3.71398132927E-09    1.02742   0.90790
     5  6000.         5   5.000       6.000      2665.          4.33719351956E-09  4.21224422447E-09  3.75859486746E-09    0.97119   0.89230
     6  6000.         6   6.000       7.000      2511.          4.63106478946E-09  4.31269406743E-09  3.68500379706E-09    0.93125   0.85446
     7  6000.         7   7.000       8.000      2380.          4.88599555149E-09  4.46866818712E-09  3.91955587338E-09    0.91459   0.87712
     8  6000.         8   8.000       9.000      2267.          5.11195764011E-09  4.44309853937E-09  3.68798787861E-09    0.86916   0.83005
     9  6000.         9   9.000       10.00      2172.          5.33260326588E-09  4.37927274240E-09  3.76410280590E-09    0.82123   0.85953
    10  1.200e+04    10   10.00       12.00      2042.          5.60336001116E-09  4.58854061899E-09  3.85218724100E-09    0.81889   0.83952
    11  1.200e+04    11   12.00       14.00      1901.          5.94436727441E-09  4.65942491539E-09  3.78897924287E-09    0.78384   0.81319
    12  1.200e+04    12   14.00       16.00      1789.          6.22067641112E-09  4.54349045516E-09  3.39848339709E-09    0.73039   0.74799
 #=================================================================================================================================================================
 # My Cross Sections
 # The PDF member chosen here is: 2
 #-----------------------------------------------------------------------------------------------------------------------------------------------------------------
 #IObs  BinSize  IODimO  [ Chi               ]  < ptavg_j12_ >  LO_cross_section   NLO_cross_section  NNLO_cross_section   KNLO      KNNLO
 #-----------------------------------------------------------------------------------------------------------------------------------------------------------------
     1  6000.         1   1.000       2.000      3611.          3.52837083494E-09  4.47857941579E-09  4.36630402792E-09    1.26931   0.97493
     2  6000.         2   2.000       3.000      3337.          3.44043774079E-09  3.96927051088E-09  3.76440873062E-09    1.15371   0.94839
