 ##################################################################################
 # [fnlo-tk-cppread] Evaluating table: ./2jet.NNLO.fnl5662j_mjj5_chi_norm_v25.tab.gz
 # [fnlo-tk-cppread] Using PDF set   : NNPDF31_nnlo_as_0118
 # [fnlo-tk-cppread] If possible, will try to do all PDF members.
 # [fnlo-tk-cppread] Using alpha_s evolution code: LHAPDF
 # [fnlo-tk-cppread] Preparing unnormalized cross sections,
 # [fnlo-tk-cppread] Using scale definition kScale1
 # [fnlo-tk-cppread] No request for central scale factor, using default of unity.
 # [fnlo-tk-cppread] No request for no. of flavours, using default of LHAPDF or Nf = 5.
 # [fnlo-tk-cppread] No request for no. of loops, using default of LHAPDF or NLoop = 2.
 # [fnlo-tk-cppread] No request for value of alpha_s(M_Z), using default of LHAPDF or asMz = 0.118.
 # [fnlo-tk-cppread] No request for value of M_Z, using default of LHAPDF or Mz = 91.1876.
 # [fnlo-tk-cppread] No request for Ecms, using default as defined in grid.
 # [fnlo-tk-cppread] Using verbosity level: WARNING
 ##################################################################################

LHAPDF 6.5.4 loading /home/rabbertz/local/share/LHAPDF/NNPDF31_nnlo_as_0118/NNPDF31_nnlo_as_0118_0000.dat
NNPDF31_nnlo_as_0118 PDF set, member #0, version 1; LHAPDF ID = 303600
LHAPDF 6.5.4 loading /home/rabbertz/local/share/LHAPDF/NNPDF31_nnlo_as_0118/NNPDF31_nnlo_as_0118_0000.dat
NNPDF31_nnlo_as_0118 PDF set, member #0, version 1; LHAPDF ID = 303600

 ##################################################################################################################################################################
 # [fnlo-tk-cppread] Calculate my cross sections
 ##################################################################################################################################################################
 #=================================================================================================================================================================
 # My Cross Sections
 # The PDF member chosen here is: 0
 #-----------------------------------------------------------------------------------------------------------------------------------------------------------------
 #IObs  BinSize  IODimO  [ Chi               ]  < ptavg_j12_ >  LO_cross_section   NLO_cross_section  NNLO_cross_section   KNLO      KNNLO
 #-----------------------------------------------------------------------------------------------------------------------------------------------------------------
     1  600.0         1   1.000       2.000      1878.          6.63727590107E-05  6.96454888720E-05  6.57337556426E-05    1.04931   0.94383
     2  600.0         2   2.000       3.000      1734.          5.87734318268E-05  5.92349329162E-05  5.53969272323E-05    1.00785   0.93521
     3  600.0         3   3.000       4.000      1596.          6.04538839088E-05  5.87432252241E-05  5.39605125032E-05    0.97170   0.91858
     4  600.0         4   4.000       5.000      1481.          6.31680745394E-05  5.96270704311E-05  5.50997429187E-05    0.94394   0.92407
     5  600.0         5   5.000       6.000      1386.          6.58603245173E-05  6.05695196697E-05  5.52296032121E-05    0.91967   0.91184
     6  600.0         6   6.000       7.000      1306.          6.83907529540E-05  6.14423848338E-05  5.71602623588E-05    0.89840   0.93031
     7  600.0         7   7.000       8.000      1238.          7.07213445028E-05  6.25506179144E-05  5.65168109112E-05    0.88447   0.90354
     8  600.0         8   8.000       9.000      1179.          7.28331830235E-05  6.31640686371E-05  5.78768983748E-05    0.86724   0.91629
     9  600.0         9   9.000       10.00      1128.          7.47472736782E-05  6.39471794385E-05  5.86627233330E-05    0.85551   0.91736
    10  1200.        10   10.00       12.00      1063.          7.74726368853E-05  6.49496571080E-05  5.89326090409E-05    0.83836   0.90736
    11  1200.        11   12.00       14.00      990.6          8.06525775044E-05  6.58684074133E-05  6.30189243937E-05    0.81669   0.95674
    12  1200.        12   14.00       16.00      931.0          8.35159245848E-05  6.66160357788E-05  6.15395478829E-05    0.79764   0.92379
 #=================================================================================================================================================================
 # My Cross Sections
 # The PDF member chosen here is: 1
 #-----------------------------------------------------------------------------------------------------------------------------------------------------------------
 #IObs  BinSize  IODimO  [ Chi               ]  < ptavg_j12_ >  LO_cross_section   NLO_cross_section  NNLO_cross_section   KNLO      KNNLO
 #-----------------------------------------------------------------------------------------------------------------------------------------------------------------
     1  600.0         1   1.000       2.000      1877.          6.71817579833E-05  7.06238185402E-05  6.66658636188E-05    1.05124   0.94396
     2  600.0         2   2.000       3.000      1734.          5.96138954374E-05  6.01591114888E-05  5.62587869424E-05    1.00915   0.93517
     3  600.0         3   3.000       4.000      1596.          6.14089905101E-05  5.97267750109E-05  5.48473142806E-05    0.97261   0.91830
     4  600.0         4   4.000       5.000      1481.          6.42290412749E-05  6.06702880027E-05  5.60459607589E-05    0.94459   0.92378
     5  600.0         5   5.000       6.000      1385.          6.70133560624E-05  6.16546543426E-05  5.61923509651E-05    0.92004   0.91140
     6  600.0         6   6.000       7.000      1306.          6.96234390907E-05  6.25693077537E-05  5.81972035432E-05    0.89868   0.93012
     7  600.0         7   7.000       8.000      1238.          7.20229950422E-05  6.37166783135E-05  5.75613206874E-05    0.88467   0.90339
     8  600.0         8   8.000       9.000      1179.          7.41976652323E-05  6.43664248565E-05  5.89333300643E-05    0.86750   0.91559
     9  600.0         9   9.000       10.00      1128.          7.61645337305E-05  6.51634846303E-05  5.98184612955E-05    0.85556   0.91798
    10  1200.        10   10.00       12.00      1063.          7.89683124125E-05  6.62069852127E-05  6.00039911248E-05    0.83840   0.90631
    11  1200.        11   12.00       14.00      990.5          8.22367992539E-05  6.71623103497E-05  6.42043573196E-05    0.81669   0.95596
    12  1200.        12   14.00       16.00      931.0          8.51742824570E-05  6.79281103786E-05  6.27544514357E-05    0.79752   0.92384
 #=================================================================================================================================================================
 # My Cross Sections
 # The PDF member chosen here is: 2
 #-----------------------------------------------------------------------------------------------------------------------------------------------------------------
 #IObs  BinSize  IODimO  [ Chi               ]  < ptavg_j12_ >  LO_cross_section   NLO_cross_section  NNLO_cross_section   KNLO      KNNLO
 #-----------------------------------------------------------------------------------------------------------------------------------------------------------------
     1  600.0         1   1.000       2.000      1878.          6.58964081149E-05  6.91216732230E-05  6.52389796878E-05    1.04894   0.94383
     2  600.0         2   2.000       3.000      1734.          5.83696017778E-05  5.88067511380E-05  5.49809226973E-05    1.00749   0.93494
     3  600.0         3   3.000       4.000      1596.          6.00514418743E-05  5.83319019460E-05  5.35805293141E-05    0.97137   0.91855
