 ##################################################################################
 # [fnlo-tk-yodaout] Evaluating table: ./2jet.NNLO.fnl5662j_mjj9_chi_norm_v25.tab.gz
 # [fnlo-tk-yodaout] Using PDF set   : NNPDF31_nnlo_as_0118
 # [fnlo-tk-yodaout] Showing statistical uncertainty from rel. x section share.
 # [fnlo-tk-yodaout] Deriving NNLO cross sections for comparison.
 # [fnlo-tk-yodaout] Preparing unnormalized cross sections.
 # [fnlo-tk-yodaout] Using scale definition kScale2.
 # [fnlo-tk-yodaout] No request given for central scale factor, using unmodified central scale.
 # [fnlo-tk-yodaout] Do not apply nonperturbative corrections.
 # [fnlo-tk-yodaout] No request given for x-axis rescale factor, using default value of unity.
 # [fnlo-tk-yodaout] No request given for uncertainty rescale factor, using default value of unity.
 # [fnlo-tk-yodaout] Using newEcms = 13600
 # [fnlo-tk-yodaout] Using verbosity level: WARNING
 ##################################################################################

LHAPDF 6.5.5 loading /home/rabbertz/local/share/LHAPDF/NNPDF31_nnlo_as_0118/NNPDF31_nnlo_as_0118_0000.dat
NNPDF31_nnlo_as_0118 PDF set, member #0, version 1; LHAPDF ID = 303600
LHAPDF 6.5.5 loading /home/rabbertz/local/share/LHAPDF/NNPDF31_nnlo_as_0118/NNPDF31_nnlo_as_0118_0000.dat
NNPDF31_nnlo_as_0118 PDF set, member #0, version 1; LHAPDF ID = 303600
 # WARNING! [fastNLOReader::SetNewSqrtS] Be careful! New center-of-mass energy is higher than that of the file. Some phase space is missing!
 ##################################################################################
 # fastNLOReader: Evaluating uncertainties
 ##################################################################################
 #=================================================================================
 # Relative statistical uncertainties from rel. shares (SR NNPDF31_nnlo_as_0118 NNLO)
 #---------------------------------------------------------------------------------
 # bin      cross_section           lower_uncertainty       upper_uncertainty
 #- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
    1       4.07000700020E-07      -2.52734252224E-02       2.52734252224E-02
    2       3.45188506911E-07      -9.72027716214E-03       9.72027716214E-03
    3       3.44016307308E-07      -6.80709400022E-03       6.80709400022E-03
    4       3.47473808458E-07      -4.63015432952E-03       4.63015432952E-03
    5       3.47226489521E-07      -3.75050336992E-03       3.75050336992E-03
    6       3.56978366764E-07      -5.71227916965E-03       5.71227916965E-03
    7       3.65656454852E-07      -7.38137553688E-03       7.38137553688E-03
    8       3.62945220248E-07      -7.75661989245E-03       7.75661989245E-03
    9       3.68712032655E-07      -1.01610832512E-02       1.01610832512E-02
   10       3.66123744053E-07      -8.25322162530E-03       8.25322162530E-03
   11       3.82298148958E-07      -1.10987779581E-02       1.10987779581E-02
   12       3.89463904412E-07      -1.28536685251E-02       1.28536685251E-02
 #- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
